Código|Ubicación|Fecha (AAAA-MM-DD)|Precipitación (mm)|ETo (P.Monteith mm)|Temperatura media (ºC)|Temperatura máxima (ºC)|Temperatura mínima (ºC)|Humedad relativa media (%)|Humedad relativa máxima (%)|Humedad relativa mínima (%)|Vel. viento media (m/s)|Dir. viento (º)|Vel. viento máxima (m/s)|Dir. viento racha máxima (º)|Radiación total diaria (MJ/m2)
VA02|TORRECILLA_DE_LA_ORDEN|2021-03-03|0.2|1.9|8.44|15.57|1.21|79.3|99.3|46.09|1.25|90.9|4.71|66.48|15.26
VA03|OLMEDO|2021-03-03|0.0|2.22|8.83|16.53|1.16|74.8|100.0|43.13|1.8|104.5|5.29|127.4|16.34
VA05|ENCINAS_DE_ESGUEVA|2021-03-03|0.2|1.7|6.89|16.19|0.3|80.6|95.5|45.17|0.98|66.54|3.97|64.46|13.0
VA06|TORDESILLAS|2021-03-03|0.0|1.79|9.03|16.71|3.12|80.6|99.9|46.28|0.91|76.5|3.97|101.7|14.55
VA07|VALBUENA_DE_DUERO|2021-03-03|0.0|1.84|8.03|16.12|1.4|75.0|93.7|44.58|1.17|108.8|4.27|100.1|13.73
VA08|MEDINA_DE_RIOSECO|2021-03-03|0.62|1.71|9.11|16.29|3.74|80.8|99.9|47.22|0.97|119.4|3.97|160.6|13.12
VA102|MEDINA_DEL_CAMPO|2021-03-03|0.0|2.32|8.81|16.67|2.23|74.8|95.0|41.19|1.89|258.3|5.51|242.7|16.34
VA103|RUEDA|2021-03-03|0.0|2.0|9.93|16.67|4.04|73.1|97.8|39.28|1.07|82.3|3.4|0.19|15.77
VA104|VILLALÃ³N_DE_CAMPOS|2021-03-03|0.1|1.56|8.16|15.89|2.84|88.5|100.0|51.71|0.65|121.6|3.73|192.8|13.93
ZA01|COLINAS_DE_TRASMONTE|2021-03-03|0.61|1.49|7.55|16.34|0.91|86.5|100.0|46.63|0.54|175.0|3.34|154.8|13.02
ZA02|VILLARALBO|2021-03-03|0.79|1.94|9.63|16.68|3.63|82.1|100.0|48.33|1.23|76.5|5.47|78.1|15.37
ZA04|VILLALPANDO|2021-03-03|0.6|1.69|7.77|15.83|2.03|84.7|99.8|49.48|0.9|88.7|3.17|243.3|14.59
ZA05|POZUELO_DE_TÁBARA|2021-03-03|0.0|1.57|7.43|16.41|1.22|85.6|99.4|44.98|0.74|139.7|4.71|172.8|12.4
ZA06|BARCIAL_DEL_BARCO|2021-03-03|0.62|1.67|9.09|16.99|2.52|82.9|100.0|45.78|0.62|68.06|3.22|152.6|14.63
ZA08|TORO|2021-03-03|0.0|2.06|9.98|16.95|4.14|78.6|98.4|43.27|1.29|66.35|5.47|120.0|15.75
AV01|NAVA_DE_ARÉVALO|2021-06-13|0.1|6.48|21.89|31.08|13.63|52.42|91.1|23.01|2.52|132.8|8.02|140.2|24.87
AV101|MUÑOGALINDO|2021-06-13|2.3|6.14|18.66|27.84|12.74|71.17|96.4|30.87|2.99|299.3|12.14|50.15|26.68
BU02|VALLE_DE_VALDELUCIO|2021-06-13|0.2|5.3|22.0|30.26|12.19|56.09|100.0|23.84|0.89|80.7|4.35|192.5|26.97
BU03|LERMA|2021-06-13|0.0|5.86|22.42|31.81|12.3|53.81|93.6|27.48|1.33|129.2|5.82|128.3|27.62
BU04|TARDAJOS|2021-06-13|0.0|5.63|22.36|30.05|13.84|57.57|94.9|26.32|1.18|93.3|7.44|223.3|27.75
BU05|VADOCONDES|2021-06-13|0.0|6.41|22.73|31.43|13.69|53.93|91.7|21.93|1.96|100.5|10.6|204.8|27.43
BU07|SANTA_GADEA_DEL_CID|2021-06-13|0.0|5.83|22.98|33.26|11.57|58.83|97.2|23.63|1.11|347.7|5.79|243.2|27.75
BU101|VALLE_DE_LOSA|2021-06-13|0.0|1.49|20.47|31.56|8.59|74.0|97.3|36.87|0.55|350.5|4.88|342.8|1.39
BU102|CONDADO_DE_TREVIÑO|2021-06-13|0.0|5.57|22.7|32.52|12.19|60.0|95.6|21.95|0.6|0.01|5.38|0.0|30.1
LE01|CARRACEDELO|2021-06-13|6.23|4.81|22.6|31.54|16.28|65.75|94.3|31.37|1.25|281.0|6.61|285.7|20.27
LE02|MANSILLA_MAYOR|2021-06-13|1.17|5.44|22.01|29.9|14.92|62.61|95.7|29.4|1.33|48.66|7.65|249.7|25.7
LE03|CUBILLAS_DE_LOS_OTEROS|2021-06-13|2.6|5.2|21.69|29.87|14.41|63.31|94.7|30.19|1.32|85.8|7.48|154.1|24.13
LE04|ZOTES_DEL_PÁRAMO|2021-06-13|1.98|5.39|21.85|29.44|14.3|59.13|91.8|28.94|1.75|62.28|6.8|183.1|23.31
LE05|QUINTANA_DEL_MARCO|2021-06-13|2.44|5.67|22.18|30.31|13.35|59.92|93.0|28.9|1.47|50.69|6.86|106.3|26.52
LE06|HOSPITAL_DE_ORBIGO|2021-06-13|9.05|5.66|21.51|30.01|15.34|64.84|94.6|29.2|1.28|38.66|6.17|299.6|27.61
LE07|BUSTILLO_DEL_PÁRAMO|2021-06-13|3.18|5.61|21.49|29.85|14.05|64.99|99.3|30.72|1.68|68.71|8.19|66.57|25.79
LE08|SAHAGÚN|2021-06-13|0.0|6.29|23.47|31.64|15.23|47.96|87.6|21.4|1.8|120.5|9.59|148.7|26.78
LE09|SANTAS_MARTAS|2021-06-13|4.14|6.15|22.3|29.61|15.07|55.61|88.6|29.09|2.15|86.8|13.37|168.7|27.0
P01|TORQUEMADA|2021-06-13|1.39|5.61|22.53|31.48|12.92|56.42|94.4|22.67|1.17|86.8|6.91|144.2|26.56
P02|VILLAMURIEL_DE_CERRATO|2021-06-13|0.0|6.37|23.44|32.26|13.86|52.81|93.2|18.78|1.67|164.0|8.3|218.9|27.85
P03|FUENTES_DE_NAVA|2021-06-13|0.2|5.82|22.82|30.69|12.55|56.89|96.2|25.26|1.43|118.2|10.64|197.5|27.44
P04|VILLOLDO|2021-06-13|1.2|5.93|22.43|30.49|13.49|60.15|100.0|27.6|1.51|110.2|7.51|134.7|28.3
P06|HERRERA_DE_PISUERGA|2021-06-13|0.21|6.36|22.07|31.33|13.58|56.32|94.8|22.11|1.72|94.5|8.54|178.7|28.83
P07|VILLALUENGA_DE_LA_VEGA|2021-06-13|1.41|5.1|21.79|29.52|14.64|58.57|89.2|26.26|1.03|162.5|5.52|201.7|24.69
P08|LANTADILLA|2021-06-13|0.3|6.37|22.87|31.34|13.66|52.94|91.9|23.01|1.68|120.3|12.21|209.3|29.17
P101|VILLAELES_DE_VALDAVIA|2021-06-13|3.53|6.89|21.58|30.6|12.87|57.38|93.3|23.74|2.37|315.7|9.74|16.11|30.5
SA01|CIUDAD_RODRIGO|2021-06-13|2.44|5.13|21.85|29.18|15.38|68.99|100.0|36.01|1.4|147.1|8.31|146.6|24.4
SA03|ALDEARRUBIA|2021-06-13|1.79|5.92|21.18|29.6|14.77|65.44|100.0|29.44|1.97|122.0|6.38|166.9|26.9
SA101|ARABAYONA|2021-06-13|0.0|5.09|20.26|29.2|13.74|57.72|88.9|21.91|0.74|76.68|1.79|109.5|27.09
SA102|EJEME|2021-06-13|1.58|5.86|20.58|29.78|13.27|66.2|96.4|28.49|1.79|286.2|6.41|343.8|27.04
SG01|GOMEZSERRACÍN|2021-06-13|4.18|6.01|20.67|31.16|11.47|64.64|99.2|24.19|1.79|158.1|10.46|174.5|26.47
SG02|NAVA_DE_LA_ASUNCIÓN|2021-06-13|11.29|6.26|21.13|32.03|12.44|64.1|100.0|19.08|2.08|170.6|11.64|205.2|24.31
SO01|ALMAZÁN|2021-06-13|0.0|5.51|19.74|27.54|9.34|65.81|98.5|31.29|1.33|113.5|4.9|267.9|29.27
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-06-13|0.0|6.27|21.91|30.93|12.46|57.85|95.9|25.26|1.77|124.3|10.08|249.8|28.92
SO03|FUENTECANTOS|2021-06-13|0.0|5.19|18.95|27.3|8.03|65.22|98.5|28.68|1.13|134.0|4.8|90.8|27.78
SO101|HINOJOSA_DEL_CAMPO|2021-06-13|0.0|5.18|20.32|27.61|11.61|61.19|94.5|26.13|1.56|117.0|5.18|168.3|24.3
VA01|MAYORGA|2021-06-13|0.2|5.68|22.74|31.25|14.17|53.68|93.1|25.43|1.28|103.3|6.67|134.2|26.53
VA02|TORRECILLA_DE_LA_ORDEN|2021-06-13|0.8|6.45|21.92|31.62|15.12|55.84|90.4|20.69|2.05|98.0|10.12|112.3|26.17
VA03|OLMEDO|2021-06-13|1.84|7.28|22.28|31.84|14.08|52.18|90.2|20.86|3.25|105.9|19.79|113.3|25.05
VA05|ENCINAS_DE_ESGUEVA|2021-06-13|0.0|5.48|22.56|31.86|12.13|51.37|89.2|26.04|1.47|128.5|10.97|210.7|23.36
VA06|TORDESILLAS|2021-06-13|0.0|6.66|23.69|33.26|14.4|49.37|89.9|20.12|1.99|154.0|11.33|127.9|26.63
VA07|VALBUENA_DE_DUERO|2021-06-13|0.79|6.77|22.92|32.1|14.16|52.02|89.9|21.55|2.27|151.0|13.17|194.3|27.23
VA08|MEDINA_DE_RIOSECO|2021-06-13|0.21|5.72|22.89|32.13|11.95|53.88|98.7|21.95|1.6|177.4|9.44|207.2|23.98
VA101|FINCA_ZAMADUEÑAS|2021-06-13|0.6|6.29|23.32|32.53|14.24|46.56|80.0|20.29|1.85|33.22|12.5|124.5|25.02
VA102|MEDINA_DEL_CAMPO|2021-06-13|0.0|7.17|22.98|31.76|15.04|47.61|80.5|20.46|2.79|307.5|12.18|222.2|26.3
VA103|RUEDA|2021-06-13|2.1|5.6|23.19|31.88|15.07|47.76|85.4|20.34|1.22|105.6|9.82|94.3|25.09
VA104|VILLALÃ³N_DE_CAMPOS|2021-06-13|7.6|6.21|22.42|31.86|14.78|61.67|96.9|25.8|1.89|131.2|15.28|197.7|26.49
ZA01|COLINAS_DE_TRASMONTE|2021-06-13|0.81|5.07|22.41|31.84|14.41|63.42|100.0|25.91|0.89|128.1|7.26|181.2|24.25
ZA02|VILLARALBO|2021-06-13|0.4|5.06|22.28|30.7|15.3|61.97|93.7|24.86|1.37|108.7|7.28|109.1|21.32
ZA04|VILLALPANDO|2021-06-13|0.2|6.14|23.26|32.13|12.72|52.04|94.7|22.26|1.63|151.8|7.63|138.2|27.09
ZA05|POZUELO_DE_TÁBARA|2021-06-13|0.8|4.7|21.36|30.15|14.97|64.89|94.0|28.37|1.14|159.3|5.72|215.5|20.88
ZA06|BARCIAL_DEL_BARCO|2021-06-13|2.67|5.68|23.11|31.65|13.58|58.81|97.9|24.85|1.49|195.6|7.79|144.8|25.04
ZA08|TORO|2021-06-13|1.42|5.89|22.7|31.19|15.45|59.46|94.8|28.15|1.48|103.4|8.18|118.3|27.14
AV01|NAVA_DE_ARÉVALO|2021-12-19|0.0|1.01|6.91|11.24|2.13|81.6|93.2|64.97|3.24|143.9|8.63|162.5|7.25
AV101|MUÑOGALINDO|2021-12-19|0.0|1.09|5.05|11.03|0.77|81.7|97.0|53.56|2.74|262.0|7.25|20.6|8.67
BU02|VALLE_DE_VALDELUCIO|2021-12-19|0.2|0.55|3.05|9.86|-2.9|85.6|100.0|58.26|1.16|289.1|3.98|287.9|6.12
BU03|LERMA|2021-12-19|0.0|0.44|2.13|12.35|-3.97|86.6|100.0|51.41|0.66|110.7|5.61|138.7|8.69
BU04|TARDAJOS|2021-12-19|0.2|0.67|1.79|11.31|-2.41|89.7|98.0|57.74|1.34|82.8|5.31|194.6|6.86
BU05|VADOCONDES|2021-12-19|0.0|0.78|3.82|12.19|-0.21|83.5|95.0|53.06|1.35|87.8|4.36|69.11|7.52
BU07|SANTA_GADEA_DEL_CID|2021-12-19|0.0|0.33|1.19|2.46|0.17|95.0|99.3|89.1|0.97|157.0|4.07|160.1|2.23
BU102|CONDADO_DE_TREVIÑO|2021-12-19|0.4|0.28|0.93|1.77|0.27|99.3|99.4|98.8|0.97|158.49|2.58|161.0|1.95
LE01|CARRACEDELO|2021-12-19|0.0|0.49|1.76|13.28|-5.54|84.6|99.8|52.28|0.63|93.3|4.66|81.1|6.71
LE02|MANSILLA_MAYOR|2021-12-19|0.0|0.36|0.69|9.8|-4.94|89.8|100.0|62.45|0.52|4.35|1.96|54.64|6.01
LE03|CUBILLAS_DE_LOS_OTEROS|2021-12-19|0.0|0.45|0.48|9.36|-5.08|88.8|98.0|65.76|0.89|38.75|3.32|29.08|5.99
LE04|ZOTES_DEL_PÁRAMO|2021-12-19|0.0|0.56|0.67|9.05|-4.1|88.1|97.7|61.05|1.05|354.4|3.44|28.23|4.89
LE05|QUINTANA_DEL_MARCO|2021-12-19|0.0|0.48|0.53|9.06|-3.76|90.5|100.0|65.23|0.76|330.0|3.33|105.7|3.87
LE06|HOSPITAL_DE_ORBIGO|2021-12-19|0.0|0.57|0.78|9.06|-3.53|87.8|97.2|59.46|1.0|2.95|3.69|0.1|4.36
LE07|BUSTILLO_DEL_PÁRAMO|2021-12-19|0.0|0.55|0.18|9.24|-5.36|91.2|100.0|59.8|1.03|3.82|3.54|60.81|5.02
LE08|SAHAGÚN|2021-12-19|0.0|0.53|3.63|10.52|-1.19|80.7|94.5|55.87|1.09|1.69|3.4|343.7|8.1
LE09|SANTAS_MARTAS|2021-12-19|0.0|0.68|2.7|9.66|-1.29|82.1|92.3|60.42|1.59|73.1|4.2|62.0|6.46
P01|TORQUEMADA|2021-12-19|0.0|0.42|1.69|11.31|-3.53|86.8|97.5|57.58|0.61|18.86|2.39|223.6|7.15
P02|VILLAMURIEL_DE_CERRATO|2021-12-19|0.0|0.52|3.44|11.65|-2.04|87.2|100.0|56.44|0.88|71.4|3.26|41.96|7.59
P03|FUENTES_DE_NAVA|2021-12-19|0.0|0.35|2.31|11.92|-2.53|87.5|98.3|58.05|0.41|48.88|2.53|52.52|7.03
P04|VILLOLDO|2021-12-19|0.2|0.45|1.7|10.72|-3.24|92.7|100.0|62.85|0.93|21.3|2.7|114.8|7.98
P06|HERRERA_DE_PISUERGA|2021-12-19|0.21|0.42|-0.32|8.63|-5.12|90.3|100.0|63.04|0.89|342.6|3.59|348.2|6.71
P07|VILLALUENGA_DE_LA_VEGA|2021-12-19|0.2|0.36|1.34|10.52|-3.29|86.3|96.3|60.07|0.68|335.2|2.51|0.67|8.17
P08|LANTADILLA|2021-12-19|0.0|0.36|1.74|9.92|-3.27|89.0|97.8|64.1|0.63|355.7|2.74|256.8|7.03
P101|VILLAELES_DE_VALDAVIA|2021-12-19|0.0|0.67|0.41|11.47|-4.36|85.7|96.7|54.32|1.23|149.2|3.31|156.5|7.2
SA01|CIUDAD_RODRIGO|2021-12-19|0.2|0.51|1.93|13.85|-4.65|89.9|100.0|55.03|0.56|208.7|5.36|173.3|8.5
SA03|ALDEARRUBIA|2021-12-19|0.0|0.46|1.31|12.01|-5.37|89.7|100.0|52.75|0.56|67.49|3.44|91.2|8.44
SA101|ARABAYONA|2021-12-19|0.0|0.35|3.68|10.73|-1.2|85.1|97.5|54.51|0.32|85.0|1.2|344.1|7.85
SA102|EJEME|2021-12-19|0.0|0.57|0.53|11.8|-5.89|88.0|99.5|56.37|0.87|276.3|3.95|191.4|9.13
SG01|GOMEZSERRACÍN|2021-12-19|0.0|0.44|1.49|12.04|-5.98|90.4|100.0|57.7|0.61|101.8|2.7|259.4|8.4
SG02|NAVA_DE_LA_ASUNCIÓN|2021-12-19|0.1|0.23|-0.83|7.93|-6.82|99.8|100.0|96.2|0.9|116.7|3.95|120.8|7.73
SO01|ALMAZÁN|2021-12-19|0.0|0.54|1.57|9.65|-4.51|89.1|100.0|62.67|0.96|151.3|4.41|184.5|5.59
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-12-19|0.0|0.86|2.7|12.05|-3.78|82.6|94.4|51.44|1.44|121.9|4.39|104.6|6.58
SO03|FUENTECANTOS|2021-12-19|0.0|0.45|-0.49|8.67|-8.09|88.1|98.6|65.39|0.6|182.7|4.62|222.7|3.87
SO101|HINOJOSA_DEL_CAMPO|2021-12-19|0.0|0.71|1.07|10.19|-5.13|89.8|100.0|59.16|1.5|125.9|6.21|227.3|5.96
VA01|MAYORGA|2021-12-19|0.0|0.46|1.78|10.71|-3.53|88.0|98.1|61.08|0.83|90.0|3.4|31.73|7.21
VA02|TORRECILLA_DE_LA_ORDEN|2021-12-19|0.2|0.8|3.37|11.99|-2.04|86.2|98.1|57.16|1.57|81.9|5.49|121.7|7.34
VA03|OLMEDO|2021-12-19|0.0|0.87|3.79|11.41|-2.37|83.9|100.0|58.15|1.97|113.9|5.58|142.0|6.63
VA05|ENCINAS_DE_ESGUEVA|2021-12-19|0.0|0.59|2.43|12.38|-3.86|80.1|91.2|49.96|0.78|66.27|4.75|57.99|7.08
VA06|TORDESILLAS|2021-12-19|0.0|0.69|3.62|12.25|-1.03|87.2|99.5|59.21|1.32|90.4|3.87|88.6|7.4
VA07|VALBUENA_DE_DUERO|2021-12-19|0.0|0.54|3.1|12.84|-1.76|77.6|88.9|46.57|0.75|99.2|2.74|163.5|9.34
VA08|MEDINA_DE_RIOSECO|2021-12-19|0.21|0.56|1.77|10.05|-2.73|92.0|100.0|69.55|1.49|52.9|4.21|33.69|6.62
VA101|FINCA_ZAMADUEÑAS|2021-12-19|0.2|0.65|2.51|10.75|-1.92|85.9|95.9|60.21|1.28|314.3|4.18|314.1|6.78
VA102|MEDINA_DEL_CAMPO|2021-12-19|0.0|1.11|3.58|13.01|-1.7|82.8|95.4|53.25|2.2|277.2|6.17|316.2|7.77
VA103|RUEDA|2021-12-19|0.0|0.55|4.27|12.57|-0.61|85.9|100.0|55.13|0.84|69.77|3.64|145.6|8.12
VA104|VILLALÃ³N_DE_CAMPOS|2021-12-19|0.2|0.44|2.77|10.36|-1.06|91.0|100.0|66.6|0.98|21.03|3.28|30.18|7.59
ZA01|COLINAS_DE_TRASMONTE|2021-12-19|0.0|0.37|1.36|10.46|-4.3|90.7|100.0|65.0|0.4|350.4|2.86|350.4|5.12
ZA02|VILLARALBO|2021-12-19|0.2|0.35|2.05|11.14|-2.99|92.6|100.0|65.52|0.51|217.0|2.61|37.99|8.32
ZA04|VILLALPANDO|2021-12-19|0.0|0.62|2.07|11.23|-2.91|91.8|100.0|65.95|1.47|60.93|4.26|58.46|6.94
ZA05|POZUELO_DE_TÁBARA|2021-12-19|0.1|0.34|2.18|9.5|-3.94|88.0|98.2|67.25|0.62|322.2|3.34|69.16|7.93
ZA06|BARCIAL_DEL_BARCO|2021-12-19|0.0|0.42|1.17|9.89|-4.06|90.5|98.6|70.5|0.77|22.02|3.71|0.09|5.97
ZA08|TORO|2021-12-19|0.0|0.47|3.62|12.51|-2.48|86.7|99.0|61.89|0.74|353.8|3.89|100.0|8.17
AV01|NAVA_DE_ARÉVALO|2021-04-19|0.49|3.05|10.58|18.31|3.87|74.45|97.4|42.95|2.28|215.0|7.13|282.4|16.09
AV101|MUÑOGALINDO|2021-04-19|0.2|2.3|8.35|14.21|0.47|75.98|95.6|45.52|2.66|92.4|8.53|91.3|9.92
BU02|VALLE_DE_VALDELUCIO|2021-04-19|0.0|2.66|9.08|16.69|1.49|59.65|94.2|33.24|1.52|32.64|6.28|31.03|14.06
BU03|LERMA|2021-04-19|0.0|2.47|9.2|19.15|0.03|70.2|99.0|32.11|0.73|247.0|4.63|279.4|15.05
BU04|TARDAJOS|2021-04-19|0.0|2.71|8.54|17.53|-1.07|75.2|96.9|34.09|1.08|235.7|7.55|255.9|17.03
BU05|VADOCONDES|2021-04-19|0.8|3.12|9.51|19.42|-1.02|71.3|99.7|30.55|1.33|210.4|6.55|263.1|18.34
BU07|SANTA_GADEA_DEL_CID|2021-04-19|0.0|3.18|9.99|21.61|-0.16|65.78|96.9|28.88|1.05|334.0|5.17|23.74|19.09
BU101|VALLE_DE_LOSA|2021-04-19|0.0|2.69|7.97|18.97|-3.32|74.2|95.7|44.21|0.7|263.0|5.93|283.6|19.78
BU102|CONDADO_DE_TREVIÑO|2021-04-19|0.0|3.14|9.75|20.1|-0.63|59.72|94.0|30.4|0.9|181.43|7.03|77.6|21.11
LE01|CARRACEDELO|2021-04-19|0.0|2.74|14.1|20.44|9.37|57.16|84.1|37.05|0.88|322.9|4.68|321.5|14.81
LE02|MANSILLA_MAYOR|2021-04-19|0.0|2.92|11.25|17.63|5.09|63.11|91.1|33.27|1.42|5.08|5.82|225.6|16.21
LE03|CUBILLAS_DE_LOS_OTEROS|2021-04-19|0.2|2.8|11.48|16.91|6.19|65.36|88.8|43.09|1.64|54.87|6.62|197.7|15.66
LE04|ZOTES_DEL_PÁRAMO|2021-04-19|0.0|2.91|11.75|17.05|7.51|62.31|84.6|38.42|1.97|236.3|7.02|249.1|13.98
LE05|QUINTANA_DEL_MARCO|2021-04-19|0.0|2.49|11.67|16.78|6.77|65.95|88.3|43.47|1.65|244.8|7.22|252.4|11.87
LE06|HOSPITAL_DE_ORBIGO|2021-04-19|0.0|2.5|11.59|17.08|6.92|63.68|80.6|39.0|1.09|306.0|5.65|354.5|13.17
LE08|SAHAGÚN|2021-04-19|1.01|2.64|10.66|17.64|4.96|63.39|94.9|39.85|1.12|171.8|7.39|304.9|15.59
LE09|SANTAS_MARTAS|2021-04-19|0.0|3.1|11.05|16.99|6.33|62.26|83.4|37.99|2.21|120.8|7.39|221.7|15.4
P01|TORQUEMADA|2021-04-19|0.4|2.49|8.67|18.37|0.34|76.1|95.7|37.09|1.13|254.3|7.44|275.2|13.65
P02|VILLAMURIEL_DE_CERRATO|2021-04-19|1.65|2.33|9.6|17.96|3.27|77.7|100.0|42.9|1.15|197.6|6.1|276.6|12.66
P03|FUENTES_DE_NAVA|2021-04-19|0.8|2.52|9.74|18.23|1.29|78.4|95.8|41.82|1.12|188.9|6.67|226.1|14.6
P04|VILLOLDO|2021-04-19|0.0|2.53|9.33|16.9|2.07|78.8|100.0|42.22|1.37|333.2|7.62|283.1|14.79
P06|HERRERA_DE_PISUERGA|2021-04-19|0.0|2.91|9.01|18.42|0.35|67.17|93.1|31.31|1.43|295.9|7.52|234.3|15.95
P07|VILLALUENGA_DE_LA_VEGA|2021-04-19|1.21|2.84|10.98|17.63|4.55|63.57|87.6|34.38|1.09|300.0|5.2|206.1|17.01
P08|LANTADILLA|2021-04-19|0.0|2.71|9.0|17.55|1.25|74.2|94.5|36.46|1.25|286.3|7.27|265.9|16.04
P101|VILLAELES_DE_VALDAVIA|2021-04-19|0.0|3.1|9.09|16.95|0.29|62.05|87.7|33.79|2.14|124.43|4.7|75.46|16.22
SA01|CIUDAD_RODRIGO|2021-04-19|2.23|2.36|12.76|19.11|7.55|76.6|94.9|45.52|0.75|197.5|4.35|195.3|13.35
SA03|ALDEARRUBIA|2021-04-19|0.2|2.71|11.68|17.3|4.0|69.26|99.7|47.1|1.76|236.7|7.4|283.5|15.38
SA101|ARABAYONA|2021-04-19|0.17|2.38|11.53|16.11|7.02|59.86|88.1|42.32|0.9|177.0|1.46|290.2|13.77
SA102|EJEME|2021-04-19|1.18|2.95|11.25|17.55|4.11|69.9|96.7|39.73|2.0|28.79|7.18|95.1|15.7
SG01|GOMEZSERRACÍN|2021-04-19|0.0|2.48|10.05|17.28|1.34|74.7|94.8|40.27|1.44|168.7|8.35|284.2|12.8
SG02|NAVA_DE_LA_ASUNCIÓN|2021-04-19|0.0|2.48|10.01|16.88|2.38|81.2|100.0|48.53|1.54|183.6|5.84|277.8|14.43
SO01|ALMAZÁN|2021-04-19|0.0|3.62|9.06|18.22|-2.63|62.09|96.0|23.88|2.07|271.7|6.95|287.3|20.24
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-04-19|1.03|3.23|9.08|18.89|-2.64|70.1|97.7|29.18|1.47|293.5|7.23|287.8|19.12
SO03|FUENTECANTOS|2021-04-19|0.0|3.17|8.0|17.69|-3.95|65.07|95.0|29.65|1.69|233.1|6.85|200.5|18.49
SO101|HINOJOSA_DEL_CAMPO|2021-04-19|0.0|3.25|8.76|18.64|-2.17|61.63|95.4|31.88|2.14|37.2|9.56|278.2|16.09
VA01|MAYORGA|2021-04-19|2.21|2.63|10.54|16.92|4.88|72.5|95.2|43.04|1.19|211.2|6.99|267.4|16.15
VA02|TORRECILLA_DE_LA_ORDEN|2021-04-19|0.0|2.65|11.86|16.96|5.92|65.26|82.6|43.83|1.66|226.7|7.14|272.0|13.13
VA03|OLMEDO|2021-04-19|1.8|2.82|10.84|18.13|4.09|69.45|93.3|40.2|2.37|150.0|7.65|268.7|11.63
VA05|ENCINAS_DE_ESGUEVA|2021-04-19|2.64|2.61|8.46|18.73|-0.84|75.6|94.9|38.03|1.27|131.7|5.05|220.2|14.27
VA06|TORDESILLAS|2021-04-19|0.0|2.84|12.12|18.92|5.39|65.12|85.9|37.59|1.27|48.26|7.03|342.1|15.19
VA07|VALBUENA_DE_DUERO|2021-04-19|3.35|3.04|9.64|19.28|1.73|67.4|91.7|31.26|1.58|37.18|6.71|269.6|15.39
VA08|MEDINA_DE_RIOSECO|2021-04-19|3.9|2.65|10.51|17.98|4.76|76.4|98.9|45.08|1.27|233.8|6.84|265.4|15.94
VA101|FINCA_ZAMADUEÑAS|2021-04-19|2.0|2.5|10.22|18.85|4.03|73.2|94.7|38.47|1.02|234.1|6.75|214.2|13.81
VA102|MEDINA_DEL_CAMPO|2021-04-19|0.0|2.59|11.38|17.91|4.96|67.28|88.1|40.2|1.86|325.5|5.91|107.1|10.78
VA103|RUEDA|2021-04-19|0.0|2.64|12.28|17.82|6.79|60.09|88.5|34.3|1.15|232.3|6.89|290.8|13.77
VA104|VILLALÃ³N_DE_CAMPOS|2021-04-19|1.08|2.6|10.11|17.09|4.17|77.02|97.5|48.85|1.47|211.71|5.16|243.7|15.85
ZA01|COLINAS_DE_TRASMONTE|2021-04-19|2.23|1.95|10.74|16.54|6.0|77.7|99.1|45.29|0.68|252.5|5.78|301.3|11.03
ZA02|VILLARALBO|2021-04-19|0.0|2.92|12.67|17.96|7.02|67.47|89.8|44.32|1.7|231.1|16.27|39.51|15.95
ZA04|VILLALPANDO|2021-04-19|2.2|2.34|10.04|16.91|3.63|80.4|95.5|48.21|1.16|176.3|6.54|267.4|13.72
ZA05|POZUELO_DE_TÁBARA|2021-04-19|0.3|2.23|11.43|17.21|5.35|71.1|94.5|41.61|0.9|277.4|5.26|317.2|12.13
ZA06|BARCIAL_DEL_BARCO|2021-04-19|1.64|2.18|11.62|17.45|6.67|74.9|96.4|45.06|0.74|204.9|5.08|327.5|12.5
ZA08|TORO|2021-04-19|0.0|2.9|12.74|18.23|6.95|65.16|85.2|40.92|1.46|348.0|7.6|269.5|15.61
AV01|NAVA_DE_ARÉVALO|2021-07-16|0.0|5.89|20.64|32.16|7.1|52.9|100.0|15.93|1.13|325.0|6.36|318.9|29.76
AV101|MUÑOGALINDO|2021-07-16|0.0|7.08|21.74|32.14|8.78|38.29|70.83|18.81|2.24|123.1|7.21|126.3|30.08
BU02|VALLE_DE_VALDELUCIO|2021-07-16|0.2|5.2|16.17|25.35|7.41|71.4|100.0|28.38|1.4|37.42|8.03|28.85|29.49
BU03|LERMA|2021-07-16|0.0|5.03|18.73|30.6|5.9|58.76|100.0|18.08|0.62|344.1|4.34|47.38|28.87
BU04|TARDAJOS|2021-07-16|0.0|6.33|17.93|27.83|9.09|61.73|94.8|19.42|2.39|59.5|6.14|50.97|29.43
BU05|VADOCONDES|2021-07-16|0.0|5.8|20.57|32.9|8.12|52.03|94.3|12.04|0.94|271.6|4.37|239.9|30.06
BU07|SANTA_GADEA_DEL_CID|2021-07-16|0.0|4.8|16.48|26.36|6.99|72.7|97.6|41.16|1.62|359.7|6.25|51.54|25.84
BU102|CONDADO_DE_TREVIÑO|2021-07-16|0.0|4.83|16.39|25.13|7.18|73.42|96.8|43.66|1.78|355.53|7.1|29.77|26.97
